package,airplane_folder,icao_designator,aircraft_title,max_indicated_speed,max_mach,normal_operating_speed,max_flaps_extended,max_gear_extended,crossover_speed,rotation_speed_min,full_flaps_stall_speed,flaps_up_stall_speed,takeoff_speed,cruise_speed,cruise_mach,vne_vmo_kias,mmo_mach,source_path,fuente_tipo,notas
LRPs AirHispania,lrp_B748,B748,LRP B748,500,0.77,305,200,643.571167,285,115,90,105,115,451,0.74,500,0.77,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_B748\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_BE58,BE58,LRP BE58,230,0.344963,140,119,140,0,76,77,71,80,203,0.344963,230,0.344963,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_BE58\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_C700,C700,LRP C700,500,0.77,305,200,643.570984,285,115,90,105,115,451,0.74,500,0.77,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_C700\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_CL60,CL60,LRP CL60,330,0.81,360,210,280,320,125,102,112,125,464,0.78,330,0.81,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_CL60\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_Cessna_172_Skyhawk,C172,LRP C172,163,0.6,129,85,,,55,40,48,60,124,,163,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_Cessna_172_Skyhawk\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_EC35,EC35,LRP EC35,205,,162,119,341.830994,0,76,64,70,76,171,0.383,205,,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_EC35\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_K100,KODI,LRP K100,205,,162,119,341.831268,0,76,64,70,76,171,0.383,205,,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_K100\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_S64,S64,LRP S64,205,,162,119,341.830994,0,76,64,70,76,171,0.383,205,,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_S64\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_airbus_a320,A320,LRP A320,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_airbus_a320\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_boeing_737-800,B738,LRP B738,370,0.821,300,245,275,0,100,110,125,135,452,0.781,370,0.821,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_boeing_737-800\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_cessna_177_cardinal,C177,LRP C177,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_cessna_177_cardinal\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_douglas_dc-3,DC3,LRP DC3,228,0.6,159,97,148,0,69,58,67,70,184,0,228,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_douglas_dc-3\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_follow-me_beetle,ZZZC,LRP FMC,205,0.383,162,119,341.831268,0,76,64,70,76,171,0.383,205,0.383,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_follow-me_beetle\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_inexistente,AT43,lrp_inexistente,300,0.65,260,150,280,240,112,95,140,115,280,0.6,300,0.65,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_inexistente\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_mooney_m20r_ovation,M20P,LRP M20P,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_mooney_m20r_ovation\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_piper_pa28_180_cherokee,P28C,LRP P28C,149,0.3,129,91,,,50,33,40,50,107,,149,0.3,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_piper_pa28_180_cherokee\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_air_tractor_at-802,LRP_Air_Tractor_AT-802,AT8T,LRP AT8T,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_air_tractor_at-802\SimObjects\Airplanes\LRP_Air_Tractor_AT-802\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_airbus_a330-200,LRP_Airbus_A330-200,A332,LRP A332,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_airbus_a330-200\SimObjects\Airplanes\LRP_Airbus_A330-200\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_airbus_a330-300,LRP_Airbus_A330-300,A333,LRP A333,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_airbus_a330-300\SimObjects\Airplanes\LRP_Airbus_A330-300\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_airbus_a340-600,LRP_Airbus_A340-600,A346,LRP A346,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_airbus_a340-600\SimObjects\Airplanes\LRP_Airbus_A340-600\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_antonov_annushka,LRP_Antonov_Annushka,AN2,LRP AN2,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_antonov_annushka\SimObjects\Airplanes\LRP_Antonov_Annushka\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_bae_146-200qt,LRP_Bae_146-200QT,B462,LRP B462,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_bae_146-200qt\SimObjects\Airplanes\LRP_Bae_146-200QT\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_beechcraft_18_twin_beach,LRP_Beechcraft_18_Twin_Beach,B18T,LRP B18T,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_beechcraft_18_twin_beach\SimObjects\Airplanes\LRP_Beechcraft_18_Twin_Beach\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_beechcraft_1900c,LRP_Beechcraft_1900C,B190,LRP B190,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_beechcraft_1900c\SimObjects\Airplanes\LRP_Beechcraft_1900C\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_beechcraft_duke_b60,LRP_Beechcraft_Duke_B60,BE60,LRP BE60,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_beechcraft_duke_b60\SimObjects\Airplanes\LRP_Beechcraft_Duke_B60\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_beechcraft_hawker_850_xp,LRP_Beechcraft_Hawker_850_XP,H25B,LRP H25B,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_beechcraft_hawker_850_xp\SimObjects\Airplanes\LRP_Beechcraft_Hawker_850_XP\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_beechcraft_king_air_b200,LRP_Beechcraft_King_Air_B200,BE20,LRP BE20,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_beechcraft_king_air_b200\SimObjects\Airplanes\LRP_Beechcraft_King_Air_B200\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_beechcraft_t-34_mentor,LRP_Beechcraft_T-34_Mentor,T34P,LRP T34P,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_beechcraft_t-34_mentor\SimObjects\Airplanes\LRP_Beechcraft_T-34_Mentor\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_beechcraft_v35_bonanza,LRP_Beechcraft_V35_Bonanza,BE35,LRP BE35,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_beechcraft_v35_bonanza\SimObjects\Airplanes\LRP_Beechcraft_V35_Bonanza\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_boeing_727-200,LRP_Boeing_727-200,B722,LRP B722,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_boeing_727-200\SimObjects\Airplanes\LRP_Boeing_727-200\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_boeing_737-400,LRP_Boeing_737-400,B734,LRP B734,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_boeing_737-400\SimObjects\Airplanes\LRP_Boeing_737-400\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_boeing_747-400,LRP_Boeing_747-400,B744,LRP B744,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_boeing_747-400\SimObjects\Airplanes\LRP_Boeing_747-400\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_boeing_767-300,LRP_Boeing_767-300,B763,LRP B763,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_boeing_767-300\SimObjects\Airplanes\LRP_Boeing_767-300\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_boeing_777-200,LRP_Boeing_777-200,B772,LRP B773,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_boeing_777-200\SimObjects\Airplanes\LRP_Boeing_777-200\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_bombardier_crj_200,LRP_Bombardier_CRJ_200,CRJ2,LRP CRJ2,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_bombardier_crj_200\SimObjects\Airplanes\LRP_Bombardier_CRJ_200\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_bombardier_crj_700,LRP_Bombardier_CRJ_700,CRJ7,LRP CRJ7,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_bombardier_crj_700\SimObjects\Airplanes\LRP_Bombardier_CRJ_700\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_bombardier_q400,LRP_Bombardier_Q400,DH8D,LRP DH8D,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_bombardier_q400\SimObjects\Airplanes\LRP_Bombardier_Q400\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_bucker_jungmann,LRP_Bucker_Jungmann,BU31,LRP BU31,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_bucker_jungmann\SimObjects\Airplanes\LRP_Bucker_Jungmann\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_canadair_cl-415,LRP_Canadair_CL-415,CL2T,LRP CL2T,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_canadair_cl-415\SimObjects\Airplanes\LRP_Canadair_CL-415\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_cessna_140_amphibian,LRP_Cessna_140_Amphibian,C140,LRP C140,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_cessna_140_amphibian\SimObjects\Airplanes\LRP_Cessna_140_Amphibian\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_cessna_152,LRP_Cessna_152,C152,LRP C152,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_cessna_152\SimObjects\Airplanes\LRP_Cessna_152\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_cessna_337_skymaster,LRP_Cessna_337_SkyMaster,C337,LRP C337,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_cessna_337_skymaster\SimObjects\Airplanes\LRP_Cessna_337_SkyMaster\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_diamond_da20-100,LRP_Diamond_DA20-100,DV20,LRP DV20,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_diamond_da20-100\SimObjects\Airplanes\LRP_Diamond_DA20-100\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_dornier_do_27,LRP_Dornier_Do_27,DO27,LRP DO27,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_dornier_do_27\SimObjects\Airplanes\LRP_Dornier_Do_27\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_f86_sabre,LRP_F86_Sabre,F86,LRP F86,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_f86_sabre\SimObjects\Airplanes\LRP_F86_Sabre\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_falcon_20,LRP_Falcon_20,FA20,LRP FA20,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_falcon_20\SimObjects\Airplanes\LRP_Falcon_20\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_glider,lrp_glider,LC8,LRP GLID,170,0.27,129,91,272,217,69,42,50,50,80,0.27,170,0.27,G:\Flight simulator 2020\MSFS2020\Community\lrp_glider\SimObjects\Airplanes\lrp_glider\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_heinkel_he_111,LRP_Heinkel_He_111,H111,LRP H111,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_heinkel_he_111\SimObjects\Airplanes\LRP_Heinkel_He_111\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_lockheed_t-33,LRP_Lockheed_T-33,T33,LRP T33,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_lockheed_t-33\SimObjects\Airplanes\LRP_Lockheed_T-33\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_mcdonnell_douglas_dc9,LRP_McDonnell_Douglas_DC9,DC93,LRP DC93,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_mcdonnell_douglas_dc9\SimObjects\Airplanes\LRP_McDonnell_Douglas_DC9\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_mcdonnell_douglas_md11,LRP_McDonnell_Douglas_MD11,MD11,LRP MD11,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_mcdonnell_douglas_md11\SimObjects\Airplanes\LRP_McDonnell_Douglas_MD11\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_mcdonnell_douglas_md81,LRP_McDonnell_Douglas_MD81,MD81,LRP MD81,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\lrp_mcdonnell_douglas_md81\SimObjects\Airplanes\LRP_McDonnell_Douglas_MD81\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_north_american_t6_texan,LRP_North_American_T6_Texan,T6,LRP T6,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_north_american_t6_texan\SimObjects\Airplanes\LRP_North_American_T6_Texan\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_pilatus_pc12,LRP_Pilatus_PC12,PC12,LRP PC12,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_pilatus_pc12\SimObjects\Airplanes\LRP_Pilatus_PC12\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa24_250_comanche,LRP_Piper_PA24_250_Comanche,PA24,LRP PA24,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa24_250_comanche\SimObjects\Airplanes\LRP_Piper_PA24_250_Comanche\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa28_181_archer_ii,LRP_Piper_PA28_181_Archer_II,P28A,LRP P28A,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa28_181_archer_ii\SimObjects\Airplanes\LRP_Piper_PA28_181_Archer_II\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa28r_200_arrow,LRP_Piper_PA28R_200_Arrow,P28R,LRP P28R,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa28r_200_arrow\SimObjects\Airplanes\LRP_Piper_PA28R_200_Arrow\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa31_navajo,LRP_Piper_PA31_Navajo,PA31,LRP PA31,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa31_navajo\SimObjects\Airplanes\LRP_Piper_PA31_Navajo\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa32r_saratoga,LRP_Piper_PA32R_Saratoga,P32R,LRP P32R,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa32r_saratoga\SimObjects\Airplanes\LRP_Piper_PA32R_Saratoga\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa36_pawneee,LRP_Piper_PA36_Pawnee,PA36,LRP PA36,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa36_pawneee\SimObjects\Airplanes\LRP_Piper_PA36_Pawnee\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa42_cheyenne,LRP_Piper_PA42_Cheyenne,PAY3,LRP PAY3,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa42_cheyenne\SimObjects\Airplanes\LRP_Piper_PA42_Cheyenne\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa44_seminole,LRP_Piper_PA44_Seminole,PA44,LRP PA44,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa44_seminole\SimObjects\Airplanes\LRP_Piper_PA44_Seminole\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_piper_pa46_malibu,LRP_Piper_PA46_Malibu,PA46,LRP PA46,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_piper_pa46_malibu\SimObjects\Airplanes\LRP_Piper_PA46_Malibu\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
lrp_superconstellation,LRP_Superconstellation,CONI,LRP CONI,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\lrp_superconstellation\SimObjects\Airplanes\LRP_Superconstellation\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
